"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000209","BRIDA SERIE 150 (219,10) BL RF ASTM A 105 B16.5 PESO 12,10 8""","BRIDA","SERIE 150","un","219.1","","","","BL RF","12.1","ASTM A 105 B16.5"
"A0000208","BRIDA SERIE 150 (168,30) BL RF ASTM A 105 B16.5 PESO 7,45 6""","BRIDA","SERIE 150","un","168.3","","","","BL RF","7.45","ASTM A 105 B16.5"
"A0000207","BRIDA SERIE 150 (114,30) BL RF ASTM A 105 B16.5 PESO 5,30 4""","BRIDA","SERIE 150","un","114.3","","","","BL RF","5.3","ASTM A 105 B16.5"
"A0000206","BRIDA SERIE 150 (88,90) BL RF ASTM A 105 B16.5 PESO 3,85 3""","BRIDA","SERIE 150","un","88.9","","","","BL RF","3.85","ASTM A 105 B16.5"
"A0000205","BRIDA SERIE 150 (60,30) BL RF ASTM A 105 B16.5 PESO 2,06 2""","BRIDA","SERIE 150","un","60.3","","","","BL RF","2.06","ASTM A 105 B16.5"
"A0000204","BRIDA SERIE 600 (355,60x19,05) WN RF ASTM A 105 B16.5 PESO 136,61 14"" SCH 80","BRIDA","SERIE 600","un","355.6","19.05","","","WN RF","136.61","ASTM A 105 B16.5"
"A0000203","BRIDA SERIE 600 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 113,58 12"" SCH 80","BRIDA","SERIE 600","un","323.8","17.48","","","WN RF","113.58","ASTM A 105 B16.5"
"A0000202","BRIDA SERIE 600 (323,80x10,31) WN RF ASTM A 105 B16.5 PESO 105,51 12"" SCH 40","BRIDA","SERIE 600","un","323.8","10.31","","","WN RF","105.51","ASTM A 105 B16.5"
"A0000201","BRIDA SERIE 600 (273,00x15,09) WN RF ASTM A 105 B16.5 PESO 92,74 10"" SCH 80","BRIDA","SERIE 600","un","273","15.09","","","WN RF","92.74","ASTM A 105 B16.5"
"A0000200","BRIDA SERIE 600 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 87,03 10"" SCH 40","BRIDA","SERIE 600","un","273","9.27","","","WN RF","87.03","ASTM A 105 B16.5"
"A0000199","BRIDA SERIE 600 (219,10x12,70) WN RF ASTM A 105 B16.5 PESO 56,04 8"" SCH 80","BRIDA","SERIE 600","un","219.1","12.7","","","WN RF","56.04","ASTM A 105 B16.5"
"A0000198","BRIDA SERIE 600 (219,10x10,31) WN RF ASTM A 105 B16.5 PESO 54,41 8"" SCH 60","BRIDA","SERIE 600","un","219.1","10.31","","","WN RF","54.41","ASTM A 105 B16.5"
"A0000197","BRIDA SERIE 600 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 36,31 6"" SCH 80","BRIDA","SERIE 600","un","168.3","10.97","","","WN RF","36.31","ASTM A 105 B16.5"
"A0000196","BRIDA SERIE 600 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 34,36 6"" SCH 40","BRIDA","SERIE 600","un","168.3","7.11","","","WN RF","34.36","ASTM A 105 B16.5"
"A0000195","BRIDA SERIE 600 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 18,27 4"" SCH 80","BRIDA","SERIE 600","un","114.3","8.56","","","WN RF","18.27","ASTM A 105 B16.5"
