"Lista de precios","Producto","UOM","Proveedor","Precio"
"VENTA","RED CONC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,13 6x3"" SCH 40","UNIDAD","","32.04"
"REVENDEDOR","RED CONC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,13 6x3"" SCH 40","UNIDAD","","32.04"
"COMPRA","RED CONC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,13 6x3"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","13.58"
"COMPRA","RED CONC (168,30x88,90x10,97x7,62) ASTM A 234 GB WPB PESO 5,72 6x3"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (168,30x141,30x7,11x6,55) ASTM A 234 GB WPB PESO 3,93 6x5"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,36 6x4"" SCH 40","UNIDAD","","31.95"
"REVENDEDOR","RED CONC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,36 6x4"" SCH 40","UNIDAD","","31.95"
"COMPRA","RED CONC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,36 6x4"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (168,30x114,30x10,97x8,56) ASTM A 234 GB WPB PESO 3,30 6x4"" SCH 80","UNIDAD","","35.04"
"REVENDEDOR","RED CONC (168,30x114,30x10,97x8,56) ASTM A 234 GB WPB PESO 3,30 6x4"" SCH 80","UNIDAD","","35.04"
"COMPRA","RED CONC (168,30x114,30x10,97x8,56) ASTM A 234 GB WPB PESO 3,30 6x4"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","16.06"
"VENTA","RED CONC (141,30x114,30x6,55x6,02) ASTM A 234 GB WPB PESO 2,50","UNIDAD","","22.99"
"REVENDEDOR","RED CONC (141,30x114,30x6,55x6,02) ASTM A 234 GB WPB PESO 2,50","UNIDAD","","22.99"
"COMPRA","RED CONC (141,30x114,30x6,55x6,02) ASTM A 234 GB WPB PESO 2,50","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (114,30x88,90x8,56x7,62) ASTM A 234 GB WPB PESO 2,21 4x3"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,46 4x3"" SCH 40","UNIDAD","","11.78"
"REVENDEDOR","RED CONC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,46 4x3"" SCH 40","UNIDAD","","11.78"
"COMPRA","RED CONC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,46 4x3"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (114,30x88,90x13,49x11,13) ASTM A 234 GB WPB PESO 4,38 4x3"" SCH 160","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,27 4x2"" SCH 40","UNIDAD","","13.74"
"REVENDEDOR","RED CONC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,27 4x2"" SCH 40","UNIDAD","","13.74"
"COMPRA","RED CONC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,27 4x2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (114,30x33,40x6,02x3,38) ASTM A 234 GB WPB PESO 1,40 4x1"" SCH 40","UNIDAD","","16.91"
"REVENDEDOR","RED CONC (114,30x33,40x6,02x3,38) ASTM A 234 GB WPB PESO 1,40 4x1"" SCH 40","UNIDAD","","16.91"
"COMPRA","RED CONC (114,30x33,40x6,02x3,38) ASTM A 234 GB WPB PESO 1,40 4x1"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","8.03"
"VENTA","CODO RL 90º (88,90x7,62) ASTM A 234 GB WPB PESO 2,81 3"" SCH 80","UNIDAD","","13.79"
"REVENDEDOR","CODO RL 90º (88,90x7,62) ASTM A 234 GB WPB PESO 2,81 3"" SCH 80","UNIDAD","","13.79"
"COMPRA","CODO RL 90º (88,90x7,62) ASTM A 234 GB WPB PESO 2,81 3"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
